Ticker,Year,Yearly_Return_Percentage
AXP,2010,10.133733863336898
AXP,2011,14.0493237650194
AXP,2012,21.796911051695016
AXP,2013,47.290272462377175
AXP,2014,4.106300255671012
AXP,2015,-26.801636221969506
AXP,2016,9.382122209012659
AXP,2017,30.177628314247894
AXP,2018,-1.209041628191726
AXP,2019,28.175099330381272
AXP,2020,17.111463408149543
AXP,2021,34.1673304891297
AXP,2022,-3.901820085963074
AXP,2023,27.094942129306094
AXP,2024,34.4999127614384
MA,2010,-7.777633056474363
MA,2011,58.177883412010885
MA,2012,30.113021187892784
MA,2013,54.78786718558551
MA,2014,6.012819145238348
MA,2015,14.383092372135026
MA,2016,8.045696707864723
MA,2017,39.27630198232675
MA,2018,26.036730694385525
MA,2019,48.23666211134919
MA,2020,29.717091030935272
MA,2021,4.702202755404771
MA,2022,1.918304051402031
MA,2023,21.88237038528602
MA,2024,12.87393217755184
V,2010,-17.14965201224679
V,2011,41.57536418394401
V,2012,42.27455186824635
V,2013,40.768480884413314
V,2014,18.566717804434955
V,2015,19.237972604201765
V,2016,2.8933565211755212
V,2017,38.80584642356395
V,2018,17.7732390227161
V,2019,36.997676349841925
V,2020,24.29788878293559
V,2021,1.9839239191707465
V,2022,0.5117994171680039
V,2023,23.769331463514593
V,2024,6.0296680367221605
