Ticker,Year,Month,Monthly_Return_Percentage,Date
AXP,2010,1,-6.29736924452296,2010-01-01
AXP,2010,2,0.03328775692982963,2010-02-01
AXP,2010,3,9.098879825858273,2010-03-01
AXP,2010,4,10.529728705941114,2010-04-01
AXP,2010,5,-15.17752313245235,2010-05-01
AXP,2010,6,1.5225875654492411,2010-06-01
AXP,2010,7,12.856022256522003,2010-07-01
AXP,2010,8,-8.076509532156033,2010-08-01
AXP,2010,9,2.067064074888737,2010-09-01
AXP,2010,10,-0.12973221943279833,2010-10-01
AXP,2010,11,6.67661923173762,2010-11-01
AXP,2010,12,-2.9693214254257843,2010-12-01
AXP,2011,1,1.7555673690483806,2011-01-01
AXP,2011,2,-0.8581385738328768,2011-02-01
AXP,2011,3,5.261052025411995,2011-03-01
AXP,2011,4,7.950732006784211,2011-04-01
AXP,2011,5,1.8071444278324627,2011-05-01
AXP,2011,6,4.9589881575436205,2011-06-01
AXP,2011,7,-4.439428645315506,2011-07-01
AXP,2011,8,0.45431987998381074,2011-08-01
AXP,2011,9,-9.24554944370228,2011-09-01
AXP,2011,10,9.399726239638897,2011-10-01
AXP,2011,11,-1.9342010868172117,2011-11-01
AXP,2011,12,-1.060888591556127,2011-12-01
AXP,2012,1,7.208343265750225,2012-01-01
AXP,2012,2,5.799090165369218,2012-02-01
AXP,2012,3,7.933220443997113,2012-03-01
AXP,2012,4,5.381111103793211,2012-04-01
AXP,2012,5,-12.963237558301543,2012-05-01
AXP,2012,6,8.80934579455431,2012-06-01
AXP,2012,7,-2.2444372176265714,2012-07-01
AXP,2012,8,2.740113896924396,2012-08-01
AXP,2012,9,-0.8542078977438071,2012-09-01
AXP,2012,10,-1.376711495061555,2012-10-01
AXP,2012,11,-1.507406076914726,2012-11-01
AXP,2012,12,2.8716866269547414,2012-12-01
AXP,2013,1,4.229557431406033,2013-01-01
AXP,2013,2,4.1244530119244835,2013-02-01
AXP,2013,3,7.629348502550022,2013-03-01
AXP,2013,4,1.6840349334405023,2013-04-01
AXP,2013,5,10.444176056424851,2013-05-01
AXP,2013,6,0.17397255800240713,2013-06-01
AXP,2013,7,0.21777932046841036,2013-07-01
AXP,2013,8,-4.9669773304017895,2013-08-01
AXP,2013,9,5.498741573685348,2013-09-01
AXP,2013,10,8.18189921428673,2013-10-01
AXP,2013,11,4.393989781833696,2013-11-01
AXP,2013,12,5.679297408756504,2013-12-01
AXP,2014,1,-6.289880991133617,2014-01-01
AXP,2014,2,7.217145010502227,2014-02-01
AXP,2014,3,0.017024358900892718,2014-03-01
AXP,2014,4,-4.669223829501312,2014-04-01
AXP,2014,5,5.357934636124686,2014-05-01
AXP,2014,6,4.177209551315104,2014-06-01
AXP,2014,7,-9.669528470154736,2014-07-01
AXP,2014,8,3.5427909918298113,2014-08-01
AXP,2014,9,-4.165218836953241,2014-09-01
AXP,2014,10,4.995623651962397,2014-10-01
AXP,2014,11,2.4436423939413556,2014-11-01
AXP,2014,12,1.1487817888374432,2014-12-01
AXP,2015,1,-13.990541665459865,2015-01-01
AXP,2015,2,1.5093052848960384,2015-02-01
AXP,2015,3,-3.1641064074953227,2015-03-01
AXP,2015,4,-1.443907285632942,2015-04-01
AXP,2015,5,2.3327534080885997,2015-05-01
AXP,2015,6,-1.254032021882718,2015-06-01
AXP,2015,7,-2.9209914924504696,2015-07-01
AXP,2015,8,-2.289843928312496,2015-08-01
AXP,2015,9,-0.01102850668695506,2015-09-01
AXP,2015,10,-0.5701577546258619,2015-10-01
AXP,2015,11,-1.4009235082179323,2015-11-01
AXP,2015,12,-3.5981623441895936,2015-12-01
AXP,2016,1,-22.986280043389133,2016-01-01
AXP,2016,2,3.9849104242569515,2016-02-01
AXP,2016,3,7.385652923255733,2016-03-01
AXP,2016,4,6.971836684781042,2016-04-01
AXP,2016,5,0.8431216383248943,2016-05-01
AXP,2016,6,-7.812584988337543,2016-06-01
