Date,Ticker,Daily_Return_Percentage,Z_Score
2020-03-23,AXP,21.882229134536363,11.925562437195476
2020-11-08,AXP,21.387929016743985,11.655278184881885
2020-03-12,AXP,19.238587062118224,10.480013882363004
2020-04-05,AXP,13.953799264125704,7.590281779939397
2023-01-26,AXP,10.540154807262281,5.7236944446814375
2016-10-19,AXP,9.028574618308841,4.897159498649064
2020-04-28,AXP,8.991977512155833,4.87714813082341
2022-01-24,AXP,8.922149066260381,4.838965802699831
2018-04-18,AXP,7.588027977885801,4.109465833172047
2020-05-17,AXP,7.528577636547149,4.07695827252191
2020-04-16,AXP,7.424722090400916,4.020169860728441
2020-05-13,AXP,7.407398588575929,4.010697336709771
2020-05-26,AXP,7.326128202297511,3.966258533642914
2020-03-24,AXP,7.281350585640676,3.941774046986246
2020-03-03,AXP,7.11968682571103,3.853375993038903
2011-08-08,AXP,7.109709916680727,3.84792060004871
2024-01-25,AXP,7.103725578017496,3.844648352191666
2020-06-02,AXP,6.389427953594411,3.454069041369689
2015-08-06,AXP,6.2933428258004325,3.401529509232333
2024-04-18,AXP,6.225285853275342,3.3643158261447703
2010-05-09,AXP,6.13305455987647,3.3138835780450426
2022-11-09,AXP,6.094895008159543,3.293017861988783
2017-04-19,AXP,5.916588064286376,3.1955192831449812
2010-05-26,AXP,5.6588802933422295,3.0546041797941497
2020-05-25,AXP,5.586005749701604,3.014756239582098
2011-11-29,AXP,5.466539503587986,2.9494318671102833
2021-10-21,AXP,5.415024198564179,2.921263199533889
2022-03-08,AXP,5.373333170199179,2.8984664652742542
2011-08-10,AXP,5.303776020481974,2.8604324824211975
2020-04-07,AXP,5.138154864276494,2.769870516601247
2013-10-16,AXP,5.123136287415197,2.761658329972809
2020-03-09,AXP,5.09712551066005,2.7474355873629976
2010-06-09,AXP,5.038059952555903,2.7151384269233754
2010-07-21,AXP,4.957466081626952,2.6710695437469414
2010-07-06,AXP,4.947752676791109,2.6657582353555935
2011-10-20,AXP,4.914511462380449,2.6475818755701503
2022-06-16,AXP,4.858219472870589,2.6168013077566754
2018-12-25,AXP,4.849130034408656,2.611831185375143
2011-10-09,AXP,4.651119190761674,2.5035584763494327
2010-06-01,AXP,4.5419774810369695,2.4438795801741353
2019-01-03,AXP,4.506033908872517,2.424225565986687
2020-03-18,AXP,4.501706207219533,2.42185917042373
2021-12-01,AXP,4.471544586785252,2.4053667385302173
2020-04-06,AXP,4.423511811856344,2.3791023250880587
2022-07-14,AXP,4.396260508225012,2.3642012600034272
2021-01-27,AXP,4.277341514997464,2.2991761264591664
2010-06-14,AXP,4.261754933364626,2.290653353732404
2021-06-20,AXP,4.254910097862419,2.2869105845536586
2010-09-19,AXP,4.230074098503572,2.273330212476979
2021-04-25,AXP,4.164078066913269,2.237243455844763
2011-12-19,AXP,4.0834040077353695,2.19313072558003
2011-08-22,AXP,4.080691034805507,2.191647266779393
2023-05-25,AXP,4.077314184188973,2.1898007983865857
2011-09-06,AXP,3.9949861368499824,2.1447836642235636
2023-03-13,AXP,3.984002649625381,2.138777872346443
2020-05-19,AXP,3.9766207578350095,2.134741439759432
2010-11-03,AXP,3.945819260703355,2.1178991220607233
2010-06-24,AXP,3.921094227187827,2.1043794263199667
2022-10-12,AXP,3.912800492070232,2.0998443960530153
2021-12-06,AXP,3.902138388823586,2.094014337551349
2022-10-03,AXP,3.8851648500632727,2.0847331740075563
2015-10-04,AXP,3.883900745110491,2.084041958995239
2022-11-03,AXP,3.8834182472304213,2.0837781282291443
2022-07-18,AXP,3.829119442407071,2.054087437624524
2018-02-08,AXP,3.8261807856128724,2.0524805744540813
2021-09-30,AXP,3.8261736851583836,2.0524766919119504
2022-10-24,AXP,3.80569105143787,2.0412767485146324
2022-10-02,AXP,3.7877073481141124,2.0314432250503858
2022-05-22,AXP,3.7849062893646632,2.029911600754679
2020-09-13,AXP,3.7828976416155307,2.028813268313529
2018-10-18,AXP,3.7825820548373428,2.0286407048580246
2021-01-18,AXP,3.765856874729734,2.019495344301801
2013-07-17,AXP,-3.63279441159566,-2.02610136723573
2020-10-22,AXP,-3.6358268832762954,-2.0277595285659826
2011-11-15,AXP,-3.6636317572873494,-2.0429632869958114
2022-05-08,AXP,-3.6673517708511154,-2.044997397546239
2019-08-22,AXP,-3.6885552800465278,-2.056591517035633
2020-07-06,AXP,-3.6964301638453203,-2.0608975185982445
2023-03-09,AXP,-3.729958051794185,-2.079230632024123
2016-10-05,AXP,-3.760124178083263,-2.095725527727679
2015-01-21,AXP,-3.7641389231792903,-2.097920798045145
2014-04-09,AXP,-3.7872070399521762,-2.1105344885336046
2023-05-01,AXP,-3.809944386324484,-2.1229673131327194
2022-09-21,AXP,-3.8195231654298896,-2.1282050079164967
2020-03-19,AXP,-3.8277194761634292,-2.1326867663434186
2022-05-04,AXP,-3.829714390263493,-2.1337775891989215
2022-05-11,AXP,-3.839644580249931,-2.1392074361263376
2022-03-03,AXP,-3.8579045524184954,-2.149192023924717
2010-05-19,AXP,-3.8586219136559268,-2.149584278425007
2020-04-19,AXP,-3.8676931387739533,-2.154544441715164
2023-07-20,AXP,-3.8902494171877464,-2.1668782580073347
2020-06-09,AXP,-3.89280348795567,-2.168274828801101
2011-09-29,AXP,-3.8955524317228556,-2.169777956524566
2021-01-24,AXP,-3.9559166068923526,-2.202785203265841
2020-06-23,AXP,-3.9630078532625457,-2.206662710379736
2016-06-26,AXP,-3.979374258834124,-2.2156118923316472
2020-04-02,AXP,-3.991656366209442,-2.2223277721975054
2022-04-28,AXP,-3.994950929748714,-2.2241292458586663
